,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2367,87.26229453086853,3.2592992948032116,0.6228331089019775,0.10180951359518604,0.2213157894736842,8,200,800,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 200, 'n_estimators': 800}",-0.058676663165763435,-0.044319212532746545,-0.04300451571654601,-0.06203309391864622,-0.04668304212619363,-0.050943305491979174,0.007846541439842755,2685
2368,97.70418801307679,5.034210626905937,0.555935287475586,0.13488200348812623,0.2213157894736842,8,200,900,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 200, 'n_estimators': 900}",-0.06123509636236555,-0.045661603675899665,-0.04339963959718011,-0.06237533231429812,-0.046658506194514775,-0.051866035628851635,0.008191676461926561,2779
2369,111.88755168914795,2.503062623758368,0.7972859382629395,0.0050963119607670025,0.2213157894736842,8,200,1000,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 200, 'n_estimators': 1000}",-0.06049562896199429,-0.04621891595639657,-0.043741276246301364,-0.06294453588860248,-0.046642645833566636,-0.05200860057737226,0.00802853538138609,2794
2370,94.82964820861817,4.1026350210624445,0.5365478992462158,0.08393186909725744,0.2213157894736842,8,300,600,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 300, 'n_estimators': 600}",-0.05726690299007017,-0.04438443847196527,-0.04249337531657836,-0.0639355678561415,-0.046452617546008955,-0.05090658043615285,0.008286933785085071,2680
2371,106.62691283226013,4.658316426610017,0.4859189510345459,0.11039902412853192,0.2213157894736842,8,300,700,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 300, 'n_estimators': 700}",-0.058980516709204824,-0.04579270990295365,-0.04295963354778656,-0.06395474144213555,-0.04687045577614048,-0.0517116114756442,0.00821947098850804,2766
2372,127.44317803382873,1.1162948030783992,0.6832403182983399,0.018508398697511856,0.2213157894736842,8,300,800,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 300, 'n_estimators': 800}",-0.05886394450973099,-0.04456544181803904,-0.04351571633829881,-0.06166911132929342,-0.04692272671481848,-0.05110738814203615,0.007611256100166891,2704
2373,141.75322828292846,5.934087708855512,0.6825486660003662,0.11980102037301517,0.2213157894736842,8,300,900,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 300, 'n_estimators': 900}",-0.059832714250162816,-0.046471431446146974,-0.043221445926169326,-0.06382310794186088,-0.04630693490453869,-0.051931126893775735,0.008260177340333248,2788
2374,157.96509323120117,1.908674542580118,0.6520348072052002,0.15194653663167457,0.2213157894736842,8,300,1000,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 300, 'n_estimators': 1000}",-0.06026221119809683,-0.0458831511282442,-0.043630300774330284,-0.06550885358353599,-0.04782085894367282,-0.052621075125576025,0.008645895126383148,2852
2375,122.46779685020446,3.9022762066726764,0.5160436153411865,0.0723905674025783,0.2213157894736842,8,400,600,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 400, 'n_estimators': 600}",-0.05900393736935632,-0.044543742347371906,-0.04271747013284947,-0.0613638727336337,-0.046388201577518676,-0.050803444832146015,0.0077824411382090754,2667
2376,143.53939423561096,4.40571783962396,0.5871423721313477,0.09634578692888073,0.2213157894736842,8,400,700,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 400, 'n_estimators': 700}",-0.05951729811282933,-0.044089834399760164,-0.04306886775426628,-0.0633249177186885,-0.046628631460973756,-0.0513259098893036,0.00841045763156277,2733
